dataset,origin,held_block,family,seed,level,method,n,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
A1,semisynthetic,0,asymmetric_burst,20260929,0.0,gated,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,asymmetric_burst,20260929,0.5,uncorrected,14,6.895337149922171,0.06907568223563595,5.096868871305088,0.45544216759931655,0.0,2,0.09916773157417035
A1,semisynthetic,0,asymmetric_burst,20260929,0.5,V7,14,13.177306605871413,0.1320068075045459,4.498208530777344,0.4118362839238899,0.0,2,0.15866341324199093
A1,semisynthetic,0,asymmetric_burst,20260929,0.5,shrink,14,6.895337149922171,0.06907568223563595,5.096868871305088,0.45544216759931655,0.0,2,0.09916773157417035
A1,semisynthetic,0,asymmetric_burst,20260929,0.5,gated,14,6.895337149922171,0.06907568223563595,5.096868871305088,0.45544216759931655,0.0,2,0.09916773157417035
A1,semisynthetic,0,asymmetric_burst,20260929,1.0,uncorrected,14,13.790674299844342,0.1381513644712719,10.193737742610175,0.739419807891116,1.953125,2,0.19661777640649497
A1,semisynthetic,0,asymmetric_burst,20260929,1.0,V7,14,17.569372979507005,0.17600537850792294,8.936811200114015,0.8953858359407926,1.953125,2,0.22973843676967762
A1,semisynthetic,0,asymmetric_burst,20260929,1.0,shrink,14,13.790674299844342,0.1381513644712719,10.193737742610175,0.739419807891116,1.953125,2,0.19661777640649497
A1,semisynthetic,0,asymmetric_burst,20260929,1.0,gated,14,13.790674299844342,0.1381513644712719,10.193737742610175,0.739419807891116,1.953125,2,0.19661777640649497
A1,semisynthetic,0,asymmetric_burst,20260929,2.0,uncorrected,14,27.581348599688685,0.2763027289425438,20.387475485220353,1.8446910767731424,3.90625,2,0.3969005569622267
A1,semisynthetic,0,asymmetric_burst,20260929,2.0,V7,14,28.828266751023797,0.28879402851539254,18.74324311650102,2.320864444977992,3.90625,2,0.40592629197733937
A1,semisynthetic,0,asymmetric_burst,20260929,2.0,shrink,14,27.581348599688685,0.2763027289425438,20.387475485220353,1.8446910767731424,3.90625,2,0.3969005569622267
A1,semisynthetic,0,asymmetric_burst,20260929,2.0,gated,14,27.581348599688685,0.2763027289425438,20.387475485220353,1.8446910767731424,3.90625,2,0.3969005569622267
A1,semisynthetic,0,direction_step,20260927,0.0,uncorrected,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,direction_step,20260927,0.0,V7,14,11.361786915708882,0.11381940658657588,3.5948412887312795,0.07273530124080112,0.0,2,0.13255413920675732
A1,semisynthetic,0,direction_step,20260927,0.0,shrink,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,direction_step,20260927,0.0,gated,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,direction_step,20260927,0.5,uncorrected,14,9.369333899367295,0.09385953393150212,23.065790004060407,0.6415832905571781,25.390625,2,0.2158202699533667
A1,semisynthetic,0,direction_step,20260927,0.5,V7,14,14.395344534458097,0.14420879256730035,22.602221566392053,0.6267623862253294,25.390625,2,0.26369910303126615
A1,semisynthetic,0,direction_step,20260927,0.5,shrink,14,9.369333899367295,0.09385953393150212,23.065790004060407,0.6415832905571781,25.390625,2,0.2158202699533667
A1,semisynthetic,0,direction_step,20260927,0.5,gated,14,9.369333899367295,0.09385953393150212,23.065790004060407,0.6415832905571781,25.390625,2,0.2158202699533667
A1,semisynthetic,0,direction_step,20260927,1.0,uncorrected,14,18.738667798734586,0.1877190678630042,46.13158000812081,1.5116838231320673,25.390625,2,0.43392976580704434
