dataset,trial_id,block,cue,features,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
A1,29,1,-1,spatial,25.146586833485873,64.50874180096073,95.63255258475584,38.41108808153414,75.91714770564633,98.8718174844006,328.125,332.03125,335.9375,0.0,0.0,0.0,0.19435218694330175,31.123810783795108,,,,,,,,,,
A1,30,1,-1,spatial,11.973976357258046,-11.930418955918498,15.088345142825899,25.5516859731242,0.3440900408385481,28.816435095587963,308.59375,265.625,308.59375,0.0,0.0,0.0,1.0,27.0187640987444,,,,,,,,,,
A1,31,1,-1,spatial,2.9289104592246336,-23.75682557642338,-89.78884924918914,11.890944194176026,,,320.3125,,,0.0,1.0,1.0,-0.5815459177479027,-66.03202367276576,,,,,,,,,,
A1,32,1,1,spatial,11.917852482826786,-15.746911820888913,2.997313257555372,32.86914767217222,,22.1058363411448,359.375,,363.28125,0.0,1.0,0.0,1.0,18.744225078444284,,,,,,,,,,
A1,33,1,1,spatial,1.1358544560600712,2.5464446970255916,7.865728501684536,20.324277787333,17.123038876855734,25.88875093389152,359.375,359.375,359.375,0.0,0.0,0.0,0.36323107489051176,5.319283804658944,,,,,,,,,,
A1,34,1,-1,spatial,-15.292655240179103,-39.58158337056389,-25.39570733700283,21.102267131289736,,4.809045982370891,386.71875,,382.8125,0.0,1.0,0.0,0.21832052212526445,14.185876033561062,,,,,,,,,,
A1,35,1,1,spatial,11.326394750598668,-10.59895670551049,-11.710208925491095,25.516787700215275,3.067074563811019,0.9779137732111991,421.875,300.78125,304.6875,0.0,0.0,0.0,-0.04981146486430539,-1.1112522199806047,,,,,,,,,,
A1,37,1,-1,spatial,-2.9722690952695534,-11.296984456734478,3.205569667107211,9.53683372648099,2.1629049215867724,21.341678959317292,359.375,410.15625,355.46875,0.0,0.0,0.0,0.9903172149692423,14.502554123841689,,,,,,,,,,
A1,44,2,1,spatial,5.720472406396268,18.434049829958226,39.39700851092647,21.148655580913243,30.911171958768925,57.23005017491505,335.9375,292.96875,343.75,0.0,0.0,0.0,0.3624861671630191,20.962958680968242,,,,,,,,,,
A1,45,2,-1,spatial,5.340472254311149,-148.80388054825318,-47.83554867938973,15.990396234636513,,,265.625,,,0.0,1.0,1.0,0.5134694108167686,100.96833186886344,,,,,,,,,,
