dataset,model,stage,MSE,zero_MSE,baseline_MSE,normalized_MSE,RMSE,NRMSE,S_zero,S_train_baseline,n_trials,setting
B1,N2_fixed_target,maintenance,91740.59838967056,91434.57311776378,94087.89362133945,1.326782060057704,302.887105023754,1.1518602606469692,-0.0033469317072507554,0.024947898622490916,64,stimulus
B1,N2_fixed_target,retrieval,103307.63441606937,102974.56045988796,103381.47550049225,1.5078210158052976,321.41505007710725,1.2279336365640032,-0.003234526612144739,0.0007142583723572793,64,stimulus
B1,N2_equal_penalty,encoding,26623.13942496009,26634.761749932135,26642.810688924143,0.38709946137204393,163.16598734098994,0.622173176352086,0.00043635926167340244,0.0007383329106576131,64,stimulus
B1,N2_equal_penalty,maintenance,91551.69051361874,91434.57311776378,94087.89362133945,1.3245211220795066,302.57509896489955,1.150878413247684,-0.0012808874352605581,0.026955679525867193,64,stimulus
B1,N2_equal_penalty,retrieval,103078.68529096998,102974.56045988796,103381.47550049225,1.505219783944745,321.05869446406524,1.2268739886169016,-0.0010111704348820805,0.0029288633002807485,64,stimulus
B1,V1_M2,encoding,26586.674333774834,26634.761749932135,26642.810688924143,0.3868478788613872,163.0542067343705,0.621970963037172,0.0018054381942208542,0.0021069982369632534,64,stimulus
B1,V1_M2,maintenance,91885.35219941231,91434.57311776378,94087.89362133945,1.3288619489911628,303.12596754387823,1.1527627461846444,-0.004930072578432032,0.023409403028952336,64,stimulus
B1,V1_M2,retrieval,103263.25662074768,102974.56045988796,103381.47550049225,1.5072598361786629,321.3460076315679,1.2277051096165816,-0.0028035677896598443,0.0011435209177683703,64,stimulus
B2,N0,encoding,74154.48706811272,73545.04224899405,76659.19279741017,0.4144275565701123,272.3132150082194,0.6437604807458379,-0.008286688000740172,0.03267325989091374,71,stimulus
B2,N0,maintenance,209601.4526696546,210966.8677569142,207142.88257194913,1.2654052084936651,457.82251219184775,1.1249023106446467,0.006472177843740434,-0.011868957635324584,71,stimulus
B2,N0,retrieval,224865.9206287391,224165.20551476107,201900.90523377535,1.4264563413960014,474.2002958969333,1.1943434771438246,-0.0031258870544559336,-0.11374399420534154,71,stimulus
B2,N1,encoding,76817.7835312078,73545.04224899405,76659.19279741017,0.43431092500452945,277.1602127492469,0.6590227044681612,-0.04449982190687374,-0.0020687764638578354,71,stimulus
B2,N1,maintenance,201789.861640786,210966.8677569142,207142.88257194913,1.210568084063856,449.2102643982949,1.1002581897281456,0.04349975052339672,0.02584216684009799,71,stimulus
B2,N1,retrieval,207068.1997978547,224165.20551476107,201900.90523377535,1.2970232439149125,455.04746982908796,1.1388692830676015,0.0762696676214567,-0.02559322137806319,71,stimulus
B2,N2,encoding,78161.1738020919,73545.04224899405,76659.19279741017,0.4428695952308556,279.5731993630504,0.6654844815853,-0.06276604665572805,-0.01959296660807608,71,stimulus
B2,N2,maintenance,202533.05544849444,210966.8677569142,207142.88257194913,1.2168163567719152,450.03672677737586,1.1030939927186239,0.03997695182230032,0.02225433510539998,71,stimulus
