dataset,fold,cue,channel,version,MAE,positive_mean_error
B2,4,1,F4,old,25.800360118120498,17.632486004863402
B2,4,-1,Fz,new,45.038474893733905,45.038474893733905
B2,4,-1,F3,new,18.421205491063358,5.043297731842751
B2,4,-1,F4,new,17.369204125961044,17.369204125961055
B2,4,1,Fz,new,9.027337318780443,8.879255454074286
B2,4,1,F3,new,16.920070424933144,0.0
B2,4,1,F4,new,28.51572419618907,17.799696836537542
B2,5,-1,Fz,before,87.75396264045486,38.87216463966477
B2,5,-1,F3,before,40.64253261818572,0.01550920878649993
B2,5,-1,F4,before,81.32106092169985,29.311487951679126
B2,5,1,Fz,before,104.1235388887684,104.1235388887684
B2,5,1,F3,before,186.76630373752982,159.73287052359967
B2,5,1,F4,before,162.27650506388562,162.27262554313327
B2,5,-1,Fz,old,77.41183659356572,38.87216463966477
B2,5,-1,F3,old,32.027568710004324,0.01550920878649993
B2,5,-1,F4,old,70.94188779991515,29.311487951679126
B2,5,1,Fz,old,90.71051236741701,90.71051236741701
B2,5,1,F3,old,160.5614557459298,133.52802253199962
B2,5,1,F4,old,139.08178332085544,139.07790380010314
B2,5,-1,Fz,new,76.33592053226955,38.87216463966477
B2,5,-1,F3,new,30.014883186784825,0.01550920878649993
B2,5,-1,F4,new,68.63085944141054,29.311487951679126
B2,5,1,Fz,new,92.1502698419947,92.15026984199471
B2,5,1,F3,new,163.3549594652851,136.3215262513549
B2,5,1,F4,new,142.56183651178952,142.55795699103717
