dataset,trial_id,block,model,stage,n_samples,MSE,gap_s,identity
A1,53,2,N3,maintenance,362,300032.88072221016,0.05,frozen_V2_new_scoring_window
A1,53,2,N3,retrieval,252,254795.78864544127,0.05,frozen_V2_new_scoring_window
A1,54,2,N3,encoding,205,30491.671137609592,0.05,frozen_V2_new_scoring_window
A1,54,2,N3,maintenance,363,185074.47466864204,0.05,frozen_V2_new_scoring_window
A1,54,2,N3,retrieval,286,270641.9221432395,0.05,frozen_V2_new_scoring_window
A1,55,2,N3,encoding,205,988.8743666609645,0.05,frozen_V2_new_scoring_window
A1,55,2,N3,maintenance,362,3552.341865731096,0.05,frozen_V2_new_scoring_window
A1,55,2,N3,retrieval,263,2849.786878049873,0.05,frozen_V2_new_scoring_window
A1,56,2,N3,encoding,205,1957.7435155068001,0.05,frozen_V2_new_scoring_window
A1,56,2,N3,maintenance,363,10541.337365462867,0.05,frozen_V2_new_scoring_window
A1,56,2,N3,retrieval,295,21559.004602342127,0.05,frozen_V2_new_scoring_window
A1,57,2,N3,encoding,205,1301.8981201968395,0.05,frozen_V2_new_scoring_window
A1,57,2,N3,maintenance,362,15275.194737249718,0.05,frozen_V2_new_scoring_window
A1,57,2,N3,retrieval,298,15908.369275628917,0.05,frozen_V2_new_scoring_window
A1,64,3,N3,encoding,205,12047.7842398436,0.05,frozen_V2_new_scoring_window
A1,64,3,N3,maintenance,362,54771.42083891508,0.05,frozen_V2_new_scoring_window
A1,64,3,N3,retrieval,235,247555.7031388238,0.05,frozen_V2_new_scoring_window
A1,65,3,N3,encoding,205,400.48207499162856,0.05,frozen_V2_new_scoring_window
A1,65,3,N3,maintenance,363,5358.987128747612,0.05,frozen_V2_new_scoring_window
A1,65,3,N3,retrieval,310,21593.420329366538,0.05,frozen_V2_new_scoring_window
A1,66,3,N3,encoding,205,18447.713872147142,0.05,frozen_V2_new_scoring_window
A1,66,3,N3,maintenance,362,63414.62533448486,0.05,frozen_V2_new_scoring_window
